기관코드,병원명,주소,전화,시도,시군구,후보순위,HIRA병원명,HIRA주소,HIRA전화,HIRAX좌표,HIRAY좌표,HIRA시설종별,암호화요양기호,매칭점수,이름유사도,주소유사도,도로주소일치,전화일치,거리m,시설종별일치,시도일치,시군구일치,자동확정기준,기준판정사유,1위점수차,자동확정,수집시각UTC,API근거,매칭로직버전
A2200005,의료법인강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),033-650-6105,강원특별자치도,강릉시,1,의료법인 강릉동인병원,"강원특별자치도 강릉시 강릉대로419번길 42-0,  (포남동)",033-650-6161,128.90735,37.77435,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,1.0,1.0,0.9767441860465116,True,False,18.5,True,True,True,True,자동확정기준통과,0.5942105263157895,True,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200005,의료법인강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),033-650-6105,강원특별자치도,강릉시,2,(의)아나의료재단 강릉아나병원,"강원특별자치도 강릉시 용지로 129-0,  (옥천동)",033-610-1100,128.9029668,37.7604484,정신병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,0.4057894736842105,0.4,0.6842105263157895,False,False,1586.1,True,True,True,False,점수미달,0.5942105263157895,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200005,의료법인강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),033-650-6105,강원특별자치도,강릉시,3,강릉율곡병원,"강원특별자치도 강릉시 동해대로3304번길 11, (난곡동)",033-655-1133,128.8740332,37.7864983,정신병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,0.3976744186046511,0.5,0.6976744186046512,False,False,3209.1,True,True,True,False,점수미달,0.5942105263157895,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200005,의료법인강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),033-650-6105,강원특별자치도,강릉시,4,의산의료재단 강릉고려병원,"강원특별자치도 강릉시 옥가로 30, (옥천동)",033-649-0100,128.8998047,37.7590068,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,0.3955555555555556,0.4,0.6111111111111112,False,False,1821.4,True,True,True,False,점수미달,0.5942105263157895,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200005,의료법인강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),033-650-6105,강원특별자치도,강릉시,5,국군강릉병원,"강원특별자치도 강릉시 주문진읍 동해대로 4371-34, 4371",02-1688-9165,128.8310611,37.8687639,병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEwMDIjNjEjJDEjJDQjJDgz,0.3357142857142857,0.5,0.6122448979591837,False,False,12447.1,True,True,True,False,점수미달,0.5942105263157895,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200010,의산의료재단강릉고려병원,강원특별자치도 강릉시 옥가로 30 (옥천동),033-647-7582,강원특별자치도,강릉시,1,의산의료재단 강릉고려병원,"강원특별자치도 강릉시 옥가로 30, (옥천동)",033-649-0100,128.8998047,37.7590068,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,1.0,1.0,1.0,True,False,10.6,True,True,True,True,자동확정기준통과,0.5616666666666668,True,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200010,의산의료재단강릉고려병원,강원특별자치도 강릉시 옥가로 30 (옥천동),033-647-7582,강원특별자치도,강릉시,2,(의)아나의료재단 강릉아나병원,"강원특별자치도 강릉시 용지로 129-0,  (옥천동)",033-610-1100,128.9029668,37.7604484,정신병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,0.4383333333333333,0.3333333333333333,0.75,False,False,314.2,True,True,True,False,점수미달,0.5616666666666668,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200010,의산의료재단강릉고려병원,강원특별자치도 강릉시 옥가로 30 (옥천동),033-647-7582,강원특별자치도,강릉시,3,의료법인 강릉동인병원,"강원특별자치도 강릉시 강릉대로419번길 42-0,  (포남동)",033-650-6161,128.90735,37.77435,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,0.4008108108108109,0.4,0.6486486486486487,False,False,1820.1,True,True,True,False,점수미달,0.5616666666666668,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200010,의산의료재단강릉고려병원,강원특별자치도 강릉시 옥가로 30 (옥천동),033-647-7582,강원특별자치도,강릉시,4,강릉율곡병원,"강원특별자치도 강릉시 동해대로3304번길 11, (난곡동)",033-655-1133,128.8740332,37.7864983,정신병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,0.3583783783783784,0.4,0.7027027027027027,False,False,3797.3,True,True,True,False,점수미달,0.5616666666666668,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200010,의산의료재단강릉고려병원,강원특별자치도 강릉시 옥가로 30 (옥천동),033-647-7582,강원특별자치도,강릉시,5,강원특별자치도강릉의료원,"강원특별자치도 강릉시 경강로 2007-0, 강릉의료원",033-610-1200,128.8888316,37.7492828,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjODEjJDEjJDYjJDgz,0.3273099415204678,0.2222222222222222,0.631578947368421,False,False,1458.1,True,True,True,False,점수미달,0.5616666666666668,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200038,근로복지공단동해병원,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",033-530-3119,강원특별자치도,동해시,1,근로복지공단 동해병원,"강원특별자치도 동해시 하평로 11, (평릉동)",033-530-3100,129.106078,37.5321225,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjODEjJDEjJDIjJDgz,1.0,1.0,1.0,True,False,29.7,True,True,True,True,자동확정기준통과,0.5453333333333332,True,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200038,근로복지공단동해병원,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",033-530-3119,강원특별자치도,동해시,2,의료법인 동해동인병원,"강원특별자치도 동해시 하평로 26, (평릉동)",033-530-0114,129.1074625,37.5299417,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDIjJDgz,0.4546666666666667,0.3333333333333333,0.8666666666666667,False,False,300.3,True,True,True,False,점수미달,0.5453333333333332,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200038,근로복지공단동해병원,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",033-530-3119,강원특별자치도,동해시,3,한마음병원,"강원특별자치도 동해시 중앙로 210, (천곡동)",033-533-8275,129.1158588,37.5197222,병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,0.2583870967741936,0.0,0.7741935483870968,False,False,1655.7,True,True,True,False,점수미달,0.5453333333333332,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200038,근로복지공단동해병원,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",033-530-3119,강원특별자치도,동해시,4,동해한의원,"강원특별자치도 동해시 대학로 20, 501호 (천곡동, 명동빌딩)",033-532-3032,129.1132288,37.5223595,한의원,JDQ4MTYyMiM1MSMkMSMkNCMkMTMkMzgxNzAyIzExIyQxIyQzIyQ5MiQzNjE0ODEjNzEjJDEjJDgjJDgz,0.078855614973262,0.3636363636363636,0.7058823529411765,False,False,1284.6,False,True,True,False,시설종별불일치,0.5453333333333332,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200038,근로복지공단동해병원,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",033-530-3119,강원특별자치도,동해시,5,동해요양병원,"강원특별자치도 동해시 중앙로 218-0, 동해요양병원",033-531-2500,129.1156782,37.520357,요양병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz,0.0743508771929824,0.3333333333333333,0.631578947368421,False,False,1587.7,False,True,True,False,시설종별불일치,0.5453333333333332,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200003,의료법인동해동인병원,"강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))",033-530-0129,강원특별자치도,동해시,1,의료법인 동해동인병원,"강원특별자치도 동해시 하평로 26, (평릉동)",033-530-0114,129.1074625,37.5299417,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDIjJDgz,1.0,1.0,1.0,True,False,8.9,True,True,True,True,자동확정기준통과,0.5453333333333332,True,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200003,의료법인동해동인병원,"강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))",033-530-0129,강원특별자치도,동해시,2,근로복지공단 동해병원,"강원특별자치도 동해시 하평로 11, (평릉동)",033-530-3100,129.106078,37.5321225,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjODEjJDEjJDIjJDgz,0.4546666666666667,0.3333333333333333,0.8666666666666667,False,False,262.7,True,True,True,False,점수미달,0.5453333333333332,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200003,의료법인동해동인병원,"강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))",033-530-0129,강원특별자치도,동해시,3,한마음병원,"강원특별자치도 동해시 중앙로 210, (천곡동)",033-533-8275,129.1158588,37.5197222,병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,0.2583870967741936,0.0,0.7741935483870968,False,False,1365.2,True,True,True,False,점수미달,0.5453333333333332,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200003,의료법인동해동인병원,"강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))",033-530-0129,강원특별자치도,동해시,4,동해한의원,"강원특별자치도 동해시 대학로 20, 501호 (천곡동, 명동빌딩)",033-532-3032,129.1132288,37.5223595,한의원,JDQ4MTYyMiM1MSMkMSMkNCMkMTMkMzgxNzAyIzExIyQxIyQzIyQ5MiQzNjE0ODEjNzEjJDEjJDgjJDgz,0.0954789915966386,0.5714285714285714,0.7058823529411765,False,False,993.4,False,True,True,False,시설종별불일치,0.5453333333333332,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200003,의료법인동해동인병원,"강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))",033-530-0129,강원특별자치도,동해시,5,동해요양병원,"강원특별자치도 동해시 중앙로 218-0, 동해요양병원",033-531-2500,129.1156782,37.520357,요양병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz,0.0876842105263158,0.5,0.631578947368421,False,False,1297.6,False,True,True,False,시설종별불일치,0.5453333333333332,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200007,강원특별자치도삼척의료원,강원특별자치도 삼척시 오십천로 473 (정상동),033-571-0431,강원특별자치도,삼척시,1,강원특별자치도삼척의료원,"강원특별자치도 삼척시 오십천로 473-0, 강원특별자치도삼척의료원",033-572-1141,129.1705232,37.4400223,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDQjJDgz,1.0,1.0,0.723404255319149,True,False,603.1,True,True,True,True,자동확정기준통과,0.7347058823529411,True,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200007,강원특별자치도삼척의료원,강원특별자치도 삼척시 오십천로 473 (정상동),033-571-0431,강원특별자치도,삼척시,2,선한이웃병원,"강원특별자치도 삼척시 오십천로 506, (정상동)",033-574-9114,129.1723135,37.4369274,병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjODEjJDEjJDIjJDgz,0.2652941176470588,0.0,0.8235294117647058,False,False,846.9,True,True,True,False,점수미달,0.7347058823529411,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200007,강원특별자치도삼척의료원,강원특별자치도 삼척시 오십천로 473 (정상동),033-571-0431,강원특별자치도,삼척시,3,매원보건진료소,"강원특별자치도 삼척시 근덕면 궁촌길 480, (근덕면)",033-574-9400,129.2728433,37.3044942,보건진료소,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkMzgxNzAyIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNjEjJDEjJDgjJDgz,0.219766081871345,0.2105263157894736,0.6111111111111112,False,False,17916.2,True,True,True,False,점수미달,0.7347058823529411,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200007,강원특별자치도삼척의료원,강원특별자치도 삼척시 오십천로 473 (정상동),033-571-0431,강원특별자치도,삼척시,4,임원보건진료소,"강원특별자치도 삼척시 원덕읍 삼척로 1213, 1213",033-572-5990,129.3425275,37.2329834,보건진료소,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkMzgxNzAyIzExIyQxIyQ3IyQ2MiQzNjEwMDIjNDEjJDEjJDgjJDgz,0.2161617458279845,0.2105263157894736,0.5853658536585366,False,False,27951.3,True,True,True,False,점수미달,0.7347058823529411,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200007,강원특별자치도삼척의료원,강원특별자치도 삼척시 오십천로 473 (정상동),033-571-0431,강원특별자치도,삼척시,5,상정보건진료소,"강원특별자치도 삼척시 미로면 상정길 83, (미로면)",033-574-3417,129.0947356,37.3815615,보건진료소,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkMzgxNzAyIzExIyQxIyQ3IyQ5OSQzNjEyMjIjNjEjJDEjJDAjJDgz,0.1881052631578947,0.1052631578947368,0.6857142857142857,False,False,8929.2,True,True,True,False,점수미달,0.7347058823529411,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200012,강원특별자치도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동),033-630-6000,강원특별자치도,속초시,1,강원특별자치도속초의료원,"강원특별자치도 속초시 영랑호반길 3, (영랑동)",033-630-6000,128.5892486,38.2164607,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,1.0,1.0,1.0,True,True,28.2,True,True,True,True,자동확정기준통과,0.8263157894736842,True,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200012,강원특별자치도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동),033-630-6000,강원특별자치도,속초시,2,온재병원,"강원특별자치도 속초시 중앙로 11-0, 속초보광병원",033-639-8500,128.5783901,38.1980014,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDQjJDgz,0.1736842105263158,0.0,0.5263157894736842,False,False,2233.0,True,True,True,False,점수미달,0.8263157894736842,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200012,강원특별자치도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동),033-630-6000,강원특별자치도,속초시,3,속초시민한의원,"강원특별자치도 속초시 영랑로7길 13, (영랑동)",033-635-1075,128.5952625,38.2142013,한의원,JDQ4MTYyMiM1MSMkMSMkNCMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQ2MiQyNjEyMjIjNzEjJDEjJDgjJDgz,0.0825811051693404,0.2352941176470588,0.8484848484848485,False,False,582.1,False,True,True,False,시설종별불일치,0.8263157894736842,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200012,강원특별자치도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동),033-630-6000,강원특별자치도,속초시,4,속초바다의원,"강원특별자치도 속초시 중앙로 153, 2층 (중앙동)",033-636-1175,128.5915378,38.2045652,의원,JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQyIyQxIyQwMCQzNjEyMjIjNzEjJDEjJDgjJDgz,0.0681176470588235,0.25,0.6470588235294118,False,False,1313.9,False,True,True,False,시설종별불일치,0.8263157894736842,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200012,강원특별자치도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동),033-630-6000,강원특별자치도,속초시,5,강원북부교도소부속의원,"강원특별자치도 속초시 동해대로4511번길 13, 1층 (장사동)",033-634-7575,128.5605926,38.2147595,의원,JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,0.0672761904761904,0.3809523809523809,0.6,False,False,2497.6,False,True,True,False,시설종별불일치,0.8263157894736842,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200046,의료법인온세움의료재단온재병원,강원특별자치도 속초시 중앙로 11 (교동),033-639-8988,강원특별자치도,속초시,1,온재병원,"강원특별자치도 속초시 중앙로 11-0, 속초보광병원",033-639-8500,128.5783901,38.1980014,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDQjJDgz,0.8520849420849421,0.5714285714285714,0.8108108108108109,True,False,2.2,True,True,True,True,자동확정기준통과,0.6617623614397808,True,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
