"青沥备开(矫焙备)喊/1技喊 林刮殿废牢备"

"C青沥备开(矫焙备)喊","青沥备开(矫焙备)喊","C楷飞喊","楷飞喊","矫痢","醚牢备荐 (疙)","巢磊牢备荐 (疙)","咯磊牢备荐 (疙)"
'00,"傈惫",'2301,"55技",2024,904839.0000,454189.0000,450650.0000
'00,"傈惫",'2302,"56技",2024,905496.0000,452015.0000,453481.0000
'00,"傈惫",'2303,"57技",2024,840885.0000,413180.0000,427705.0000
'00,"傈惫",'2304,"58技",2024,794467.0000,411796.0000,382671.0000
'00,"傈惫",'2305,"59技",2024,827564.0000,411761.0000,415803.0000
'00,"傈惫",'2601,"60技",2024,808536.0000,406052.0000,402484.0000
'00,"傈惫",'2602,"61技",2024,767375.0000,387341.0000,380034.0000
'00,"傈惫",'2603,"62技",2024,850523.0000,428356.0000,422167.0000
'00,"傈惫",'2604,"63技",2024,879639.0000,433229.0000,446410.0000
'00,"傈惫",'2605,"64技",2024,885571.0000,432747.0000,452824.0000
'00,"傈惫",'2801,"65技",2024,814596.0000,397854.0000,416742.0000
'00,"傈惫",'2802,"66技",2024,742363.0000,365419.0000,376944.0000
'00,"傈惫",'2803,"67技",2024,733263.0000,359232.0000,374031.0000
'00,"傈惫",'2804,"68技",2024,658457.0000,318929.0000,339528.0000
'00,"傈惫",'2805,"69技",2024,678460.0000,321400.0000,357060.0000
'00,"傈惫",'3101,"70技",2024,573038.0000,276279.0000,296759.0000
'00,"傈惫",'3102,"71技",2024,491599.0000,231612.0000,259987.0000
'00,"傈惫",'3103,"72技",2024,538274.0000,252878.0000,285396.0000
'00,"傈惫",'3104,"73技",2024,387886.0000,180670.0000,207216.0000
'00,"傈惫",'3105,"74技",2024,409126.0000,189170.0000,219956.0000
'00,"傈惫",'3301,"75技",2024,408805.0000,187236.0000,221569.0000
'00,"傈惫",'3302,"76技",2024,400233.0000,182485.0000,217748.0000
'00,"傈惫",'3303,"77技",2024,397170.0000,176740.0000,220430.0000
'00,"傈惫",'3304,"78技",2024,310514.0000,138114.0000,172400.0000
'00,"傈惫",'3305,"79技",2024,269952.0000,116618.0000,153334.0000
'00,"傈惫",'3601,"80技",2024,280780.0000,116606.0000,164174.0000
'00,"傈惫",'3602,"81技",2024,272939.0000,110257.0000,162682.0000
'00,"傈惫",'3603,"82技",2024,321363.0000,127195.0000,194168.0000
'00,"傈惫",'3604,"83技",2024,253302.0000,96668.0000,156634.0000
'00,"傈惫",'3605,"84技",2024,211640.0000,77263.0000,134377.0000
'00,"傈惫",'3801,"85技",2024,205355.0000,72579.0000,132776.0000
'00,"傈惫",'3802,"86技",2024,173422.0000,58776.0000,114646.0000
'00,"傈惫",'3803,"87技",2024,148723.0000,48127.0000,100596.0000
'00,"傈惫",'3804,"88技",2024,127411.0000,39025.0000,88386.0000
'00,"傈惫",'3805,"89技",2024,109609.0000,31674.0000,77935.0000
'00,"傈惫",'4101,"90技",2024,86601.0000,23586.0000,63015.0000
'00,"傈惫",'4102,"91技",2024,65163.0000,16595.0000,48568.0000
'00,"傈惫",'4103,"92技",2024,52589.0000,12542.0000,40047.0000
'00,"傈惫",'4104,"93技",2024,37064.0000,8117.0000,28947.0000
'00,"傈惫",'4105,"94技",2024,28825.0000,5731.0000,23094.0000
'00,"傈惫",'4301,"95技",2024,22258.0000,4593.0000,17665.0000
'00,"傈惫",'4302,"96技",2024,15836.0000,2871.0000,12965.0000
'00,"傈惫",'4303,"97技",2024,10996.0000,1871.0000,9125.0000
'00,"傈惫",'4304,"98技",2024,6369.0000,1020.0000,5349.0000
'00,"傈惫",'4305,"99技",2024,4224.0000,631.0000,3593.0000
'00,"傈惫",'440,"100技 捞惑",2024,8577.0000,1525.0000,7052.0000
'11,"辑匡漂喊矫",'000,"拌",2024,9331828.0000,4505355.0000,4826473.0000
'11,"辑匡漂喊矫",'0401,"0技",2024,39588.0000,20193.0000,19395.0000
'11,"辑匡漂喊矫",'0402,"1技",2024,37696.0000,19323.0000,18373.0000
'11,"辑匡漂喊矫",'0403,"2技",2024,40295.0000,20593.0000,19702.0000
'11,"辑匡漂喊矫",'0404,"3技",2024,42163.0000,21640.0000,20523.0000
'11,"辑匡漂喊矫",'0405,"4技",2024,43155.0000,22167.0000,20988.0000
'11,"辑匡漂喊矫",'0501,"5技",2024,47146.0000,24593.0000,22553.0000
'11,"辑匡漂喊矫",'0502,"6技",2024,50295.0000,25985.0000,24310.0000
'11,"辑匡漂喊矫",'0503,"7技",2024,54899.0000,27998.0000,26901.0000
'11,"辑匡漂喊矫",'0504,"8技",2024,61875.0000,31617.0000,30258.0000
'11,"辑匡漂喊矫",'0505,"9技",2024,66668.0000,34004.0000,32664.0000
'11,"辑匡漂喊矫",'0701,"10技",2024,66426.0000,33962.0000,32464.0000
'11,"辑匡漂喊矫",'0702,"11技",2024,66625.0000,34359.0000,32266.0000
'11,"辑匡漂喊矫",'0703,"12技",2024,74642.0000,38317.0000,36325.0000
'11,"辑匡漂喊矫",'0704,"13技",2024,71709.0000,36756.0000,34953.0000
'11,"辑匡漂喊矫",'0705,"14技",2024,72634.0000,37395.0000,35239.0000
'11,"辑匡漂喊矫",'1001,"15技",2024,69493.0000,35599.0000,33894.0000
'11,"辑匡漂喊矫",'1002,"16技",2024,73553.0000,37740.0000,35813.0000
'11,"辑匡漂喊矫",'1003,"17技",2024,77999.0000,39966.0000,38033.0000
'11,"辑匡漂喊矫",'1004,"18技",2024,72242.0000,37043.0000,35199.0000
'11,"辑匡漂喊矫",'1005,"19技",2024,75444.0000,37587.0000,37857.0000
'11,"辑匡漂喊矫",'1201,"20技",2024,87480.0000,42067.0000,45413.0000
'11,"辑匡漂喊矫",'1202,"21技",2024,92749.0000,43380.0000,49369.0000
'11,"辑匡漂喊矫",'1203,"22技",2024,97032.0000,45523.0000,51509.0000
'11,"辑匡漂喊矫",'1204,"23技",2024,115026.0000,53348.0000,61678.0000
'11,"辑匡漂喊矫",'1205,"24技",2024,138282.0000,63675.0000,74607.0000
'11,"辑匡漂喊矫",'1301,"25技",2024,139207.0000,64271.0000,74936.0000
'11,"辑匡漂喊矫",'1302,"26技",2024,149155.0000,69509.0000,79646.0000
'11,"辑匡漂喊矫",'1303,"27技",2024,159528.0000,74491.0000,85037.0000
'11,"辑匡漂喊矫",'1304,"28技",2024,162724.0000,77805.0000,84919.0000
'11,"辑匡漂喊矫",'1305,"29技",2024,167077.0000,81741.0000,85336.0000
'11,"辑匡漂喊矫",'1501,"30技",2024,168204.0000,83836.0000,84368.0000
'11,"辑匡漂喊矫",'1502,"31技",2024,164677.0000,82696.0000,81981.0000
'11,"辑匡漂喊矫",'1503,"32技",2024,165011.0000,82632.0000,82379.0000
'11,"辑匡漂喊矫",'1504,"33技",2024,157803.0000,79084.0000,78719.0000
'11,"辑匡漂喊矫",'1505,"34技",2024,141004.0000,71748.0000,69256.0000
'11,"辑匡漂喊矫",'1601,"35技",2024,134863.0000,67539.0000,67324.0000
'11,"辑匡漂喊矫",'1602,"36技",2024,132271.0000,66468.0000,65803.0000
'11,"辑匡漂喊矫",'1603,"37技",2024,126247.0000,62375.0000,63872.0000
'11,"辑匡漂喊矫",'1604,"38技",2024,125422.0000,62732.0000,62690.0000
'11,"辑匡漂喊矫",'1605,"39技",2024,127163.0000,63077.0000,64086.0000
'11,"辑匡漂喊矫",'1801,"40技",2024,125909.0000,62668.0000,63241.0000
'11,"辑匡漂喊矫",'1802,"41技",2024,138603.0000,69048.0000,69555.0000
'11,"辑匡漂喊矫",'1803,"42技",2024,147204.0000,72703.0000,74501.0000
'11,"辑匡漂喊矫",'1804,"43技",2024,149164.0000,74488.0000,74676.0000
'11,"辑匡漂喊矫",'1805,"44技",2024,147759.0000,73111.0000,74648.0000
'11,"辑匡漂喊矫",'1901,"45技",2024,146004.0000,71117.0000,74887.0000
'11,"辑匡漂喊矫",'1902,"46技",2024,124689.0000,62401.0000,62288.0000
'11,"辑匡漂喊矫",'1903,"47技",2024,135402.0000,65579.0000,69823.0000
'11,"辑匡漂喊矫",'1904,"48技",2024,133190.0000,66104.0000,67086.0000
'11,"辑匡漂喊矫",'1905,"49技",2024,136026.0000,66487.0000,69539.0000
'11,"辑匡漂喊矫",'2101,"50技",2024,147045.0000,73200.0000,73845.0000
'11,"辑匡漂喊矫",'2102,"51技",2024,152374.0000,74114.0000,78260.0000
'11,"辑匡漂喊矫",'2103,"52技",2024,155429.0000,77170.0000,78259.0000
'11,"辑匡漂喊矫",'2104,"53技",2024,163270.0000,80998.0000,82272.0000
'11,"辑匡漂喊矫",'2105,"54技",2024,157640.0000,77675.0000,79965.0000
'11,"辑匡漂喊矫",'2301,"55技",2024,154869.0000,76418.0000,78451.0000
'11,"辑匡漂喊矫",'2302,"56技",2024,150401.0000,73415.0000,76986.0000
'11,"辑匡漂喊矫",'2303,"57技",2024,140204.0000,66900.0000,73304.0000
'11,"辑匡漂喊矫",'2304,"58技",2024,128533.0000,65185.0000,63348.0000
'11,"辑匡漂喊矫",'2305,"59技",2024,136303.0000,65849.0000,70454.0000
'11,"辑匡漂喊矫",'2601,"60技",2024,135577.0000,65944.0000,69633.0000
'11,"辑匡漂喊矫",'2602,"61技",2024,128776.0000,62856.0000,65920.0000
'11,"辑匡漂喊矫",'2603,"62技",2024,138973.0000,67829.0000,71144.0000
'11,"辑匡漂喊矫",'2604,"63技",2024,142214.0000,67344.0000,74870.0000
'11,"辑匡漂喊矫",'2605,"64技",2024,147150.0000,68742.0000,78408.0000
'11,"辑匡漂喊矫",'2801,"65技",2024,138069.0000,64980.0000,73089.0000
'11,"辑匡漂喊矫",'2802,"66技",2024,128429.0000,60445.0000,67984.0000
'11,"辑匡漂喊矫",'2803,"67技",2024,128047.0000,59957.0000,68090.0000
'11,"辑匡漂喊矫",'2804,"68技",2024,116489.0000,53899.0000,62590.0000
'11,"辑匡漂喊矫",'2805,"69技",2024,122515.0000,55779.0000,66736.0000
'11,"辑匡漂喊矫",'3101,"70技",2024,103648.0000,48187.0000,55461.0000
'11,"辑匡漂喊矫",'3102,"71技",2024,90701.0000,41428.0000,49273.0000
'11,"辑匡漂喊矫",'3103,"72技",2024,98441.0000,45165.0000,53276.0000
'11,"辑匡漂喊矫",'3104,"73技",2024,68286.0000,31207.0000,37079.0000
'11,"辑匡漂喊矫",'3105,"74技",2024,75705.0000,34428.0000,41277.0000
'11,"辑匡漂喊矫",'3301,"75技",2024,75830.0000,33927.0000,41903.0000
'11,"辑匡漂喊矫",'3302,"76技",2024,74253.0000,33302.0000,40951.0000
'11,"辑匡漂喊矫",'3303,"77技",2024,75184.0000,33141.0000,42043.0000
'11,"辑匡漂喊矫",'3304,"78技",2024,59990.0000,26384.0000,33606.0000
'11,"辑匡漂喊矫",'3305,"79技",2024,51733.0000,22623.0000,29110.0000
'11,"辑匡漂喊矫",'3601,"80技",2024,51195.0000,22277.0000,28918.0000
'11,"辑匡漂喊矫",'3602,"81技",2024,48823.0000,20916.0000,27907.0000
'11,"辑匡漂喊矫",'3603,"82技",2024,55954.0000,24056.0000,31898.0000
'11,"辑匡漂喊矫",'3604,"83技",2024,43542.0000,18381.0000,25161.0000
'11,"辑匡漂喊矫",'3605,"84技",2024,35431.0000,14301.0000,21130.0000
'11,"辑匡漂喊矫",'3801,"85技",2024,33261.0000,13038.0000,20223.0000
'11,"辑匡漂喊矫",'3802,"86技",2024,27529.0000,10519.0000,17010.0000
'11,"辑匡漂喊矫",'3803,"87技",2024,23409.0000,8545.0000,14864.0000
'11,"辑匡漂喊矫",'3804,"88技",2024,19475.0000,6771.0000,12704.0000
'11,"辑匡漂喊矫",'3805,"89技",2024,16631.0000,5571.0000,11060.0000
'11,"辑匡漂喊矫",'4101,"90技",2024,12786.0000,3948.0000,8838.0000
'11,"辑匡漂喊矫",'4102,"91技",2024,9732.0000,2904.0000,6828.0000
'11,"辑匡漂喊矫",'4103,"92技",2024,7750.0000,2175.0000,5575.0000
'11,"辑匡漂喊矫",'4104,"93技",2024,5459.0000,1364.0000,4095.0000
'11,"辑匡漂喊矫",'4105,"94技",2024,4340.0000,1045.0000,3295.0000
'11,"辑匡漂喊矫",'4301,"95技",2024,3580.0000,906.0000,2674.0000
'11,"辑匡漂喊矫",'4302,"96技",2024,2501.0000,572.0000,1929.0000
'11,"辑匡漂喊矫",'4303,"97技",2024,1813.0000,388.0000,1425.0000
'11,"辑匡漂喊矫",'4304,"98技",2024,1020.0000,205.0000,815.0000
'11,"辑匡漂喊矫",'4305,"99技",2024,613.0000,108.0000,505.0000
'11,"辑匡漂喊矫",'440,"100技 捞惑",2024,1484.0000,334.0000,1150.0000
'11110," 辆肺备",'000,"拌",2024,138336.0000,66570.0000,71766.0000
'11110," 辆肺备",'0401,"0技",2024,421.0000,226.0000,195.0000
'11110," 辆肺备",'0402,"1技",2024,413.0000,208.0000,205.0000
'11110," 辆肺备",'0403,"2技",2024,453.0000,232.0000,221.0000
'11110," 辆肺备",'0404,"3技",2024,487.0000,261.0000,226.0000
'11110," 辆肺备",'0405,"4技",2024,480.0000,240.0000,240.0000
'11110," 辆肺备",'0501,"5技",2024,529.0000,265.0000,264.0000
'11110," 辆肺备",'0502,"6技",2024,544.0000,266.0000,278.0000
'11110," 辆肺备",'0503,"7技",2024,641.0000,320.0000,321.0000
'11110," 辆肺备",'0504,"8技",2024,719.0000,374.0000,345.0000
'11110," 辆肺备",'0505,"9技",2024,824.0000,415.0000,409.0000
'11110," 辆肺备",'0701,"10技",2024,795.0000,385.0000,410.0000
'11110," 辆肺备",'0702,"11技",2024,819.0000,398.0000,421.0000
'11110," 辆肺备",'0703,"12技",2024,955.0000,485.0000,470.0000
'11110," 辆肺备",'0704,"13技",2024,864.0000,395.0000,469.0000
'11110," 辆肺备",'0705,"14技",2024,987.0000,494.0000,493.0000
'11110," 辆肺备",'1001,"15技",2024,860.0000,437.0000,423.0000
'11110," 辆肺备",'1002,"16技",2024,933.0000,458.0000,475.0000
'11110," 辆肺备",'1003,"17技",2024,1094.0000,544.0000,550.0000
'11110," 辆肺备",'1004,"18技",2024,972.0000,486.0000,486.0000
'11110," 辆肺备",'1005,"19技",2024,1099.0000,522.0000,577.0000
'11110," 辆肺备",'1201,"20技",2024,1362.0000,606.0000,756.0000
'11110," 辆肺备",'1202,"21技",2024,1461.0000,646.0000,815.0000
'11110," 辆肺备",'1203,"22技",2024,1605.0000,711.0000,894.0000
'11110," 辆肺备",'1204,"23技",2024,1874.0000,873.0000,1001.0000
'11110," 辆肺备",'1205,"24技",2024,2337.0000,1108.0000,1229.0000
'11110," 辆肺备",'1301,"25技",2024,2397.0000,1077.0000,1320.0000
'11110," 辆肺备",'1302,"26技",2024,2405.0000,1090.0000,1315.0000
'11110," 辆肺备",'1303,"27技",2024,2517.0000,1192.0000,1325.0000
'11110," 辆肺备",'1304,"28技",2024,2535.0000,1294.0000,1241.0000
'11110," 辆肺备",'1305,"29技",2024,2470.0000,1233.0000,1237.0000
'11110," 辆肺备",'1501,"30技",2024,2450.0000,1212.0000,1238.0000
'11110," 辆肺备",'1502,"31技",2024,2378.0000,1234.0000,1144.0000
'11110," 辆肺备",'1503,"32技",2024,2355.0000,1163.0000,1192.0000
'11110," 辆肺备",'1504,"33技",2024,2224.0000,1147.0000,1077.0000
'11110," 辆肺备",'1505,"34技",2024,1919.0000,968.0000,951.0000
'11110," 辆肺备",'1601,"35技",2024,1763.0000,882.0000,881.0000
'11110," 辆肺备",'1602,"36技",2024,1681.0000,832.0000,849.0000
'11110," 辆肺备",'1603,"37技",2024,1712.0000,793.0000,919.0000
'11110," 辆肺备",'1604,"38技",2024,1547.0000,758.0000,789.0000
'11110," 辆肺备",'1605,"39技",2024,1725.0000,845.0000,880.0000
'11110," 辆肺备",'1801,"40技",2024,1582.0000,770.0000,812.0000
'11110," 辆肺备",'1802,"41技",2024,1875.0000,970.0000,905.0000
'11110," 辆肺备",'1803,"42技",2024,1901.0000,910.0000,991.0000
'11110," 辆肺备",'1804,"43技",2024,2051.0000,1005.0000,1046.0000
'11110," 辆肺备",'1805,"44技",2024,1931.0000,906.0000,1025.0000
'11110," 辆肺备",'1901,"45技",2024,1960.0000,936.0000,1024.0000
'11110," 辆肺备",'1902,"46技",2024,1702.0000,834.0000,868.0000
'11110," 辆肺备",'1903,"47技",2024,1787.0000,804.0000,983.0000
'11110," 辆肺备",'1904,"48技",2024,1840.0000,914.0000,926.0000
'11110," 辆肺备",'1905,"49技",2024,1858.0000,891.0000,967.0000
'11110," 辆肺备",'2101,"50技",2024,2087.0000,1012.0000,1075.0000
'11110," 辆肺备",'2102,"51技",2024,2270.0000,1075.0000,1195.0000
'11110," 辆肺备",'2103,"52技",2024,2362.0000,1164.0000,1198.0000
'11110," 辆肺备",'2104,"53技",2024,2590.0000,1362.0000,1228.0000
'11110," 辆肺备",'2105,"54技",2024,2542.0000,1238.0000,1304.0000
'11110," 辆肺备",'2301,"55技",2024,2464.0000,1225.0000,1239.0000
'11110," 辆肺备",'2302,"56技",2024,2405.0000,1174.0000,1231.0000
'11110," 辆肺备",'2303,"57技",2024,2348.0000,1113.0000,1235.0000
'11110," 辆肺备",'2304,"58技",2024,2059.0000,1044.0000,1015.0000
'11110," 辆肺备",'2305,"59技",2024,2249.0000,1118.0000,1131.0000
'11110," 辆肺备",'2601,"60技",2024,2229.0000,1121.0000,1108.0000
'11110," 辆肺备",'2602,"61技",2024,2133.0000,1082.0000,1051.0000
'11110," 辆肺备",'2603,"62技",2024,2290.0000,1228.0000,1062.0000
'11110," 辆肺备",'2604,"63技",2024,2346.0000,1161.0000,1185.0000
'11110," 辆肺备",'2605,"64技",2024,2295.0000,1096.0000,1199.0000
'11110," 辆肺备",'2801,"65技",2024,2075.0000,1055.0000,1020.0000
'11110," 辆肺备",'2802,"66技",2024,1954.0000,967.0000,987.0000
'11110," 辆肺备",'2803,"67技",2024,1978.0000,992.0000,986.0000
'11110," 辆肺备",'2804,"68技",2024,1807.0000,873.0000,934.0000
'11110," 辆肺备",'2805,"69技",2024,1909.0000,948.0000,961.0000
'11110," 辆肺备",'3101,"70技",2024,1567.0000,756.0000,811.0000
'11110," 辆肺备",'3102,"71技",2024,1353.0000,651.0000,702.0000
'11110," 辆肺备",'3103,"72技",2024,1496.0000,730.0000,766.0000
'11110," 辆肺备",'3104,"73技",2024,975.0000,445.0000,530.0000
'11110," 辆肺备",'3105,"74技",2024,1087.0000,485.0000,602.0000
'11110," 辆肺备",'3301,"75技",2024,1192.0000,530.0000,662.0000
'11110," 辆肺备",'3302,"76技",2024,1133.0000,501.0000,632.0000
'11110," 辆肺备",'3303,"77技",2024,1214.0000,540.0000,674.0000
'11110," 辆肺备",'3304,"78技",2024,954.0000,409.0000,545.0000
'11110," 辆肺备",'3305,"79技",2024,896.0000,371.0000,525.0000
'11110," 辆肺备",'3601,"80技",2024,928.0000,370.0000,558.0000
'11110," 辆肺备",'3602,"81技",2024,861.0000,362.0000,499.0000
'11110," 辆肺备",'3603,"82技",2024,1022.0000,422.0000,600.0000
'11110," 辆肺备",'3604,"83技",2024,833.0000,323.0000,510.0000
'11110," 辆肺备",'3605,"84技",2024,693.0000,292.0000,401.0000
'11110," 辆肺备",'3801,"85技",2024,666.0000,256.0000,410.0000
'11110," 辆肺备",'3802,"86技",2024,613.0000,244.0000,369.0000
'11110," 辆肺备",'3803,"87技",2024,446.0000,164.0000,282.0000
'11110," 辆肺备",'3804,"88技",2024,425.0000,167.0000,258.0000
'11110," 辆肺备",'3805,"89技",2024,350.0000,119.0000,231.0000
'11110," 辆肺备",'4101,"90技",2024,290.0000,98.0000,192.0000
'11110," 辆肺备",'4102,"91技",2024,200.0000,77.0000,123.0000
'11110," 辆肺备",'4103,"92技",2024,183.0000,64.0000,119.0000
'11110," 辆肺备",'4104,"93技",2024,122.0000,40.0000,82.0000
'11110," 辆肺备",'4105,"94技",2024,89.0000,24.0000,65.0000
'11110," 辆肺备",'4301,"95技",2024,68.0000,17.0000,51.0000
'11110," 辆肺备",'4302,"96技",2024,64.0000,16.0000,48.0000
'11110," 辆肺备",'4303,"97技",2024,49.0000,7.0000,42.0000
'11110," 辆肺备",'4304,"98技",2024,29.0000,10.0000,19.0000
'11110," 辆肺备",'4305,"99技",2024,12.0000,4.0000,8.0000
'11110," 辆肺备",'440,"100技 捞惑",2024,41.0000,13.0000,28.0000
'11140," 吝备",'000,"拌",2024,120544.0000,58015.0000,62529.0000
'11140," 吝备",'0401,"0技",2024,548.0000,289.0000,259.0000
'11140," 吝备",'0402,"1技",2024,433.0000,224.0000,209.0000
'11140," 吝备",'0403,"2技",2024,523.0000,272.0000,251.0000
'11140," 吝备",'0404,"3技",2024,543.0000,261.0000,282.0000
'11140," 吝备",'0405,"4技",2024,515.0000,257.0000,258.0000
'11140," 吝备",'0501,"5技",2024,519.0000,278.0000,241.0000
'11140," 吝备",'0502,"6技",2024,500.0000,246.0000,254.0000
'11140," 吝备",'0503,"7技",2024,538.0000,272.0000,266.0000
'11140," 吝备",'0504,"8技",2024,598.0000,308.0000,290.0000
'11140," 吝备",'0505,"9技",2024,599.0000,313.0000,286.0000
'11140," 吝备",'0701,"10技",2024,547.0000,273.0000,274.0000
'11140," 吝备",'0702,"11技",2024,585.0000,289.0000,296.0000
'11140," 吝备",'0703,"12技",2024,577.0000,314.0000,263.0000
'11140," 吝备",'0704,"13技",2024,548.0000,258.0000,290.0000
'11140," 吝备",'0705,"14技",2024,546.0000,284.0000,262.0000
'11140," 吝备",'1001,"15技",2024,511.0000,270.0000,241.0000
'11140," 吝备",'1002,"16技",2024,570.0000,269.0000,301.0000
'11140," 吝备",'1003,"17技",2024,668.0000,318.0000,350.0000
'11140," 吝备",'1004,"18技",2024,614.0000,321.0000,293.0000
'11140," 吝备",'1005,"19技",2024,717.0000,340.0000,377.0000
'11140," 吝备",'1201,"20技",2024,950.0000,414.0000,536.0000
'11140," 吝备",'1202,"21技",2024,1009.0000,402.0000,607.0000
'11140," 吝备",'1203,"22技",2024,1135.0000,533.0000,602.0000
'11140," 吝备",'1204,"23技",2024,1441.0000,670.0000,771.0000
'11140," 吝备",'1205,"24技",2024,1811.0000,827.0000,984.0000
'11140," 吝备",'1301,"25技",2024,1787.0000,796.0000,991.0000
'11140," 吝备",'1302,"26技",2024,1964.0000,837.0000,1127.0000
'11140," 吝备",'1303,"27技",2024,2160.0000,922.0000,1238.0000
'11140," 吝备",'1304,"28技",2024,2169.0000,979.0000,1190.0000
'11140," 吝备",'1305,"29技",2024,2351.0000,1101.0000,1250.0000
'11140," 吝备",'1501,"30技",2024,2477.0000,1198.0000,1279.0000
'11140," 吝备",'1502,"31技",2024,2446.0000,1195.0000,1251.0000
'11140," 吝备",'1503,"32技",2024,2566.0000,1274.0000,1292.0000
'11140," 吝备",'1504,"33技",2024,2372.0000,1185.0000,1187.0000
'11140," 吝备",'1505,"34技",2024,2153.0000,1062.0000,1091.0000
'11140," 吝备",'1601,"35技",2024,2089.0000,1079.0000,1010.0000
'11140," 吝备",'1602,"36技",2024,2061.0000,989.0000,1072.0000
'11140," 吝备",'1603,"37技",2024,1834.0000,967.0000,867.0000
'11140," 吝备",'1604,"38技",2024,1765.0000,892.0000,873.0000
'11140," 吝备",'1605,"39技",2024,1833.0000,912.0000,921.0000
