"青沥备开(矫焙备)喊/1技喊 林刮殿废牢备"

"C青沥备开(矫焙备)喊","青沥备开(矫焙备)喊","C楷飞喊","楷飞喊","矫痢","醚牢备荐 (疙)","巢磊牢备荐 (疙)","咯磊牢备荐 (疙)"
'00,"傈惫",'1901,"45技",2025,828806.0000,421862.0000,406944.0000
'00,"傈惫",'1902,"46技",2025,819025.0000,412478.0000,406547.0000
'00,"傈惫",'1903,"47技",2025,713936.0000,367979.0000,345957.0000
'00,"傈惫",'1904,"48技",2025,769434.0000,385866.0000,383568.0000
'00,"傈惫",'1905,"49技",2025,752131.0000,383898.0000,368233.0000
'00,"傈惫",'2101,"50技",2025,778434.0000,391601.0000,386833.0000
'00,"傈惫",'2102,"51技",2025,844025.0000,429737.0000,414288.0000
'00,"傈惫",'2103,"52技",2025,878065.0000,439347.0000,438718.0000
'00,"傈惫",'2104,"53技",2025,877870.0000,447896.0000,429974.0000
'00,"傈惫",'2105,"54技",2025,923656.0000,469130.0000,454526.0000
'00,"傈惫",'2301,"55技",2025,898223.0000,454492.0000,443731.0000
'00,"傈惫",'2302,"56技",2025,902052.0000,452208.0000,449844.0000
'00,"傈惫",'2303,"57技",2025,902554.0000,449916.0000,452638.0000
'00,"傈惫",'2304,"58技",2025,837902.0000,411060.0000,426842.0000
'00,"傈惫",'2305,"59技",2025,791291.0000,409384.0000,381907.0000
'00,"傈惫",'2601,"60技",2025,824211.0000,409307.0000,414904.0000
'00,"傈惫",'2602,"61技",2025,805015.0000,403436.0000,401579.0000
'00,"傈惫",'2603,"62技",2025,763732.0000,384571.0000,379161.0000
'00,"傈惫",'2604,"63技",2025,846301.0000,425244.0000,421057.0000
'00,"傈惫",'2605,"64技",2025,874748.0000,429586.0000,445162.0000
'00,"傈惫",'2801,"65技",2025,880186.0000,428828.0000,451358.0000
'00,"傈惫",'2802,"66技",2025,809673.0000,394070.0000,415603.0000
'00,"傈惫",'2803,"67技",2025,737628.0000,361882.0000,375746.0000
'00,"傈惫",'2804,"68技",2025,727802.0000,355156.0000,372646.0000
'00,"傈惫",'2805,"69技",2025,652982.0000,314961.0000,338021.0000
'00,"傈惫",'3101,"70技",2025,672218.0000,316944.0000,355274.0000
'00,"傈惫",'3102,"71技",2025,567117.0000,272045.0000,295072.0000
'00,"傈惫",'3103,"72技",2025,485894.0000,227597.0000,258297.0000
'00,"傈惫",'3104,"73技",2025,531392.0000,248094.0000,283298.0000
'00,"傈惫",'3105,"74技",2025,382196.0000,176779.0000,205417.0000
'00,"傈惫",'3301,"75技",2025,402372.0000,184706.0000,217666.0000
'00,"傈惫",'3302,"76技",2025,401141.0000,182170.0000,218971.0000
'00,"傈惫",'3303,"77技",2025,391994.0000,177260.0000,214734.0000
'00,"傈惫",'3304,"78技",2025,387739.0000,170798.0000,216941.0000
'00,"傈惫",'3305,"79技",2025,302211.0000,132993.0000,169218.0000
'00,"傈惫",'3601,"80技",2025,261648.0000,111661.0000,149987.0000
'00,"傈惫",'3602,"81技",2025,270820.0000,110923.0000,159897.0000
'00,"傈惫",'3603,"82技",2025,261448.0000,103963.0000,157485.0000
'00,"傈惫",'3604,"83技",2025,305697.0000,118990.0000,186707.0000
'00,"傈惫",'3605,"84技",2025,239464.0000,89580.0000,149884.0000
'00,"傈惫",'3801,"85技",2025,198069.0000,70753.0000,127316.0000
'00,"傈惫",'3802,"86技",2025,190292.0000,65610.0000,124682.0000
'00,"傈惫",'3803,"87技",2025,158876.0000,52511.0000,106365.0000
'00,"傈惫",'3804,"88技",2025,134486.0000,42276.0000,92210.0000
'00,"傈惫",'3805,"89技",2025,113705.0000,33746.0000,79959.0000
'00,"傈惫",'4101,"90技",2025,96203.0000,26886.0000,69317.0000
'00,"傈惫",'4102,"91技",2025,74612.0000,19566.0000,55046.0000
'00,"傈惫",'4103,"92技",2025,55273.0000,13561.0000,41712.0000
'00,"傈惫",'4104,"93技",2025,43724.0000,9984.0000,33740.0000
'00,"傈惫",'4105,"94技",2025,30083.0000,6349.0000,23734.0000
'00,"傈惫",'4301,"95技",2025,22941.0000,4379.0000,18562.0000
'00,"傈惫",'4302,"96技",2025,17348.0000,3489.0000,13859.0000
'00,"傈惫",'4303,"97技",2025,12045.0000,2127.0000,9918.0000
'00,"傈惫",'4304,"98技",2025,8200.0000,1341.0000,6859.0000
'00,"傈惫",'4305,"99技",2025,4617.0000,730.0000,3887.0000
'00,"傈惫",'440,"100技 捞惑",2025,8726.0000,1441.0000,7285.0000
'11,"辑匡漂喊矫",'000,"拌",2025,9299548.0000,4481099.0000,4818449.0000
'11,"辑匡漂喊矫",'0401,"0技",2025,43645.0000,22488.0000,21157.0000
'11,"辑匡漂喊矫",'0402,"1技",2025,39703.0000,20167.0000,19536.0000
'11,"辑匡漂喊矫",'0403,"2技",2025,37268.0000,19112.0000,18156.0000
'11,"辑匡漂喊矫",'0404,"3技",2025,39955.0000,20384.0000,19571.0000
'11,"辑匡漂喊矫",'0405,"4技",2025,42056.0000,21574.0000,20482.0000
'11,"辑匡漂喊矫",'0501,"5技",2025,43053.0000,22175.0000,20878.0000
'11,"辑匡漂喊矫",'0502,"6技",2025,47447.0000,24712.0000,22735.0000
'11,"辑匡漂喊矫",'0503,"7技",2025,50486.0000,26054.0000,24432.0000
'11,"辑匡漂喊矫",'0504,"8技",2025,54961.0000,28049.0000,26912.0000
'11,"辑匡漂喊矫",'0505,"9技",2025,62088.0000,31753.0000,30335.0000
'11,"辑匡漂喊矫",'0701,"10技",2025,66913.0000,34132.0000,32781.0000
'11,"辑匡漂喊矫",'0702,"11技",2025,66610.0000,34041.0000,32569.0000
'11,"辑匡漂喊矫",'0703,"12技",2025,67029.0000,34633.0000,32396.0000
'11,"辑匡漂喊矫",'0704,"13技",2025,74629.0000,38250.0000,36379.0000
'11,"辑匡漂喊矫",'0705,"14技",2025,71635.0000,36666.0000,34969.0000
'11,"辑匡漂喊矫",'1001,"15技",2025,72718.0000,37435.0000,35283.0000
'11,"辑匡漂喊矫",'1002,"16技",2025,69117.0000,35268.0000,33849.0000
'11,"辑匡漂喊矫",'1003,"17技",2025,73390.0000,37610.0000,35780.0000
'11,"辑匡漂喊矫",'1004,"18技",2025,78039.0000,39852.0000,38187.0000
'11,"辑匡漂喊矫",'1005,"19技",2025,77791.0000,38782.0000,39009.0000
'11,"辑匡漂喊矫",'1201,"20技",2025,79530.0000,38086.0000,41444.0000
'11,"辑匡漂喊矫",'1202,"21技",2025,89989.0000,41828.0000,48161.0000
'11,"辑匡漂喊矫",'1203,"22技",2025,98086.0000,45792.0000,52294.0000
'11,"辑匡漂喊矫",'1204,"23技",2025,103556.0000,47982.0000,55574.0000
'11,"辑匡漂喊矫",'1205,"24技",2025,120983.0000,55558.0000,65425.0000
'11,"辑匡漂喊矫",'1301,"25技",2025,144986.0000,66881.0000,78105.0000
'11,"辑匡漂喊矫",'1302,"26技",2025,143842.0000,66797.0000,77045.0000
'11,"辑匡漂喊矫",'1303,"27技",2025,151668.0000,70932.0000,80736.0000
'11,"辑匡漂喊矫",'1304,"28技",2025,159998.0000,74936.0000,85062.0000
'11,"辑匡漂喊矫",'1305,"29技",2025,162247.0000,77935.0000,84312.0000
'11,"辑匡漂喊矫",'1501,"30技",2025,165859.0000,81308.0000,84551.0000
'11,"辑匡漂喊矫",'1502,"31技",2025,166037.0000,82887.0000,83150.0000
'11,"辑匡漂喊矫",'1503,"32技",2025,162064.0000,81541.0000,80523.0000
'11,"辑匡漂喊矫",'1504,"33技",2025,162720.0000,81626.0000,81094.0000
'11,"辑匡漂喊矫",'1505,"34技",2025,155320.0000,77930.0000,77390.0000
'11,"辑匡漂喊矫",'1601,"35技",2025,138715.0000,70573.0000,68142.0000
'11,"辑匡漂喊矫",'1602,"36技",2025,132884.0000,66547.0000,66337.0000
'11,"辑匡漂喊矫",'1603,"37技",2025,130394.0000,65469.0000,64925.0000
'11,"辑匡漂喊矫",'1604,"38技",2025,124847.0000,61459.0000,63388.0000
'11,"辑匡漂喊矫",'1605,"39技",2025,124104.0000,62010.0000,62094.0000
'11,"辑匡漂喊矫",'1801,"40技",2025,125863.0000,62375.0000,63488.0000
'11,"辑匡漂喊矫",'1802,"41技",2025,124764.0000,61935.0000,62829.0000
'11,"辑匡漂喊矫",'1803,"42技",2025,137682.0000,68469.0000,69213.0000
'11,"辑匡漂喊矫",'1804,"43技",2025,146321.0000,72131.0000,74190.0000
'11,"辑匡漂喊矫",'1805,"44技",2025,148025.0000,73776.0000,74249.0000
'11,"辑匡漂喊矫",'1901,"45技",2025,146669.0000,72508.0000,74161.0000
'11,"辑匡漂喊矫",'1902,"46技",2025,144950.0000,70622.0000,74328.0000
'11,"辑匡漂喊矫",'1903,"47技",2025,123731.0000,61862.0000,61869.0000
'11,"辑匡漂喊矫",'1904,"48技",2025,134444.0000,64945.0000,69499.0000
'11,"辑匡漂喊矫",'1905,"49技",2025,132191.0000,65553.0000,66638.0000
'11,"辑匡漂喊矫",'2101,"50技",2025,134856.0000,65901.0000,68955.0000
'11,"辑匡漂喊矫",'2102,"51技",2025,145580.0000,72471.0000,73109.0000
'11,"辑匡漂喊矫",'2103,"52技",2025,150694.0000,73214.0000,77480.0000
'11,"辑匡漂喊矫",'2104,"53技",2025,153783.0000,76301.0000,77482.0000
'11,"辑匡漂喊矫",'2105,"54技",2025,161444.0000,79924.0000,81520.0000
'11,"辑匡漂喊矫",'2301,"55技",2025,155560.0000,76530.0000,79030.0000
'11,"辑匡漂喊矫",'2302,"56技",2025,152873.0000,75363.0000,77510.0000
'11,"辑匡漂喊矫",'2303,"57技",2025,148248.0000,72308.0000,75940.0000
'11,"辑匡漂喊矫",'2304,"58技",2025,138179.0000,65896.0000,72283.0000
'11,"辑匡漂喊矫",'2305,"59技",2025,126497.0000,64016.0000,62481.0000
'11,"辑匡漂喊矫",'2601,"60技",2025,134075.0000,64533.0000,69542.0000
'11,"辑匡漂喊矫",'2602,"61技",2025,133370.0000,64633.0000,68737.0000
'11,"辑匡漂喊矫",'2603,"62技",2025,126809.0000,61757.0000,65052.0000
'11,"辑匡漂喊矫",'2604,"63技",2025,136574.0000,66463.0000,70111.0000
'11,"辑匡漂喊矫",'2605,"64技",2025,139902.0000,65926.0000,73976.0000
'11,"辑匡漂喊矫",'2801,"65技",2025,144832.0000,67370.0000,77462.0000
'11,"辑匡漂喊矫",'2802,"66技",2025,135933.0000,63680.0000,72253.0000
'11,"辑匡漂喊矫",'2803,"67技",2025,126606.0000,59319.0000,67287.0000
'11,"辑匡漂喊矫",'2804,"68技",2025,126225.0000,58832.0000,67393.0000
'11,"辑匡漂喊矫",'2805,"69技",2025,114517.0000,52655.0000,61862.0000
'11,"辑匡漂喊矫",'3101,"70技",2025,120577.0000,54571.0000,66006.0000
'11,"辑匡漂喊矫",'3102,"71技",2025,101919.0000,47131.0000,54788.0000
'11,"辑匡漂喊矫",'3103,"72技",2025,89184.0000,40485.0000,48699.0000
'11,"辑匡漂喊矫",'3104,"73技",2025,96625.0000,44013.0000,52612.0000
'11,"辑匡漂喊矫",'3105,"74技",2025,66916.0000,30343.0000,36573.0000
'11,"辑匡漂喊矫",'3301,"75技",2025,74062.0000,33460.0000,40602.0000
'11,"辑匡漂喊矫",'3302,"76技",2025,74084.0000,32857.0000,41227.0000
'11,"辑匡漂喊矫",'3303,"77技",2025,72375.0000,32201.0000,40174.0000
'11,"辑匡漂喊矫",'3304,"78技",2025,73202.0000,31985.0000,41217.0000
'11,"辑匡漂喊矫",'3305,"79技",2025,58321.0000,25410.0000,32911.0000
'11,"辑匡漂喊矫",'3601,"80技",2025,49982.0000,21588.0000,28394.0000
'11,"辑匡漂喊矫",'3602,"81技",2025,49226.0000,21180.0000,28046.0000
'11,"辑匡漂喊矫",'3603,"82技",2025,46709.0000,19742.0000,26967.0000
'11,"辑匡漂喊矫",'3604,"83技",2025,53071.0000,22458.0000,30613.0000
'11,"辑匡漂喊矫",'3605,"84技",2025,41096.0000,17117.0000,23979.0000
'11,"辑匡漂喊矫",'3801,"85技",2025,33137.0000,13149.0000,19988.0000
'11,"辑匡漂喊矫",'3802,"86技",2025,30760.0000,11868.0000,18892.0000
'11,"辑匡漂喊矫",'3803,"87技",2025,25278.0000,9476.0000,15802.0000
'11,"辑匡漂喊矫",'3804,"88技",2025,21195.0000,7565.0000,13630.0000
'11,"辑匡漂喊矫",'3805,"89技",2025,17457.0000,5916.0000,11541.0000
'11,"辑匡漂喊矫",'4101,"90技",2025,14612.0000,4784.0000,9828.0000
'11,"辑匡漂喊矫",'4102,"91技",2025,11076.0000,3340.0000,7736.0000
'11,"辑匡漂喊矫",'4103,"92技",2025,8307.0000,2411.0000,5896.0000
'11,"辑匡漂喊矫",'4104,"93技",2025,6531.0000,1797.0000,4734.0000
'11,"辑匡漂喊矫",'4105,"94技",2025,4489.0000,1124.0000,3365.0000
'11,"辑匡漂喊矫",'4301,"95技",2025,3511.0000,787.0000,2724.0000
'11,"辑匡漂喊矫",'4302,"96技",2025,2791.0000,704.0000,2087.0000
'11,"辑匡漂喊矫",'4303,"97技",2025,1949.0000,445.0000,1504.0000
'11,"辑匡漂喊矫",'4304,"98技",2025,1370.0000,268.0000,1102.0000
'11,"辑匡漂喊矫",'4305,"99技",2025,764.0000,151.0000,613.0000
'11,"辑匡漂喊矫",'440,"100技 捞惑",2025,1413.0000,291.0000,1122.0000
'11110," 辆肺备",'000,"拌",2025,137048.0000,65668.0000,71380.0000
'11110," 辆肺备",'0401,"0技",2025,427.0000,228.0000,199.0000
'11110," 辆肺备",'0402,"1技",2025,444.0000,234.0000,210.0000
'11110," 辆肺备",'0403,"2技",2025,416.0000,218.0000,198.0000
'11110," 辆肺备",'0404,"3技",2025,445.0000,228.0000,217.0000
'11110," 辆肺备",'0405,"4技",2025,472.0000,242.0000,230.0000
'11110," 辆肺备",'0501,"5技",2025,477.0000,248.0000,229.0000
'11110," 辆肺备",'0502,"6技",2025,526.0000,261.0000,265.0000
'11110," 辆肺备",'0503,"7技",2025,546.0000,261.0000,285.0000
'11110," 辆肺备",'0504,"8技",2025,634.0000,319.0000,315.0000
'11110," 辆肺备",'0505,"9技",2025,703.0000,370.0000,333.0000
'11110," 辆肺备",'0701,"10技",2025,814.0000,404.0000,410.0000
'11110," 辆肺备",'0702,"11技",2025,768.0000,364.0000,404.0000
'11110," 辆肺备",'0703,"12技",2025,816.0000,395.0000,421.0000
'11110," 辆肺备",'0704,"13技",2025,934.0000,474.0000,460.0000
'11110," 辆肺备",'0705,"14技",2025,854.0000,392.0000,462.0000
'11110," 辆肺备",'1001,"15技",2025,960.0000,493.0000,467.0000
'11110," 辆肺备",'1002,"16技",2025,862.0000,431.0000,431.0000
'11110," 辆肺备",'1003,"17技",2025,942.0000,454.0000,488.0000
'11110," 辆肺备",'1004,"18技",2025,1081.0000,536.0000,545.0000
'11110," 辆肺备",'1005,"19技",2025,1162.0000,549.0000,613.0000
'11110," 辆肺备",'1201,"20技",2025,1216.0000,552.0000,664.0000
'11110," 辆肺备",'1202,"21技",2025,1444.0000,603.0000,841.0000
'11110," 辆肺备",'1203,"22技",2025,1568.0000,701.0000,867.0000
'11110," 辆肺备",'1204,"23技",2025,1755.0000,768.0000,987.0000
'11110," 辆肺备",'1205,"24技",2025,2014.0000,948.0000,1066.0000
'11110," 辆肺备",'1301,"25技",2025,2468.0000,1150.0000,1318.0000
'11110," 辆肺备",'1302,"26技",2025,2409.0000,1084.0000,1325.0000
'11110," 辆肺备",'1303,"27技",2025,2432.0000,1121.0000,1311.0000
'11110," 辆肺备",'1304,"28技",2025,2457.0000,1162.0000,1295.0000
'11110," 辆肺备",'1305,"29技",2025,2443.0000,1274.0000,1169.0000
'11110," 辆肺备",'1501,"30技",2025,2385.0000,1190.0000,1195.0000
'11110," 辆肺备",'1502,"31技",2025,2380.0000,1161.0000,1219.0000
'11110," 辆肺备",'1503,"32技",2025,2297.0000,1209.0000,1088.0000
'11110," 辆肺备",'1504,"33技",2025,2306.0000,1161.0000,1145.0000
'11110," 辆肺备",'1505,"34技",2025,2081.0000,1062.0000,1019.0000
'11110," 辆肺备",'1601,"35技",2025,1897.0000,950.0000,947.0000
'11110," 辆肺备",'1602,"36技",2025,1707.0000,856.0000,851.0000
'11110," 辆肺备",'1603,"37技",2025,1616.0000,795.0000,821.0000
'11110," 辆肺备",'1604,"38技",2025,1666.0000,765.0000,901.0000
'11110," 辆肺备",'1605,"39技",2025,1534.0000,750.0000,784.0000
'11110," 辆肺备",'1801,"40技",2025,1770.0000,854.0000,916.0000
'11110," 辆肺备",'1802,"41技",2025,1573.0000,757.0000,816.0000
'11110," 辆肺备",'1803,"42技",2025,1854.0000,964.0000,890.0000
'11110," 辆肺备",'1804,"43技",2025,1903.0000,918.0000,985.0000
'11110," 辆肺备",'1805,"44技",2025,2010.0000,957.0000,1053.0000
'11110," 辆肺备",'1901,"45技",2025,1900.0000,880.0000,1020.0000
'11110," 辆肺备",'1902,"46技",2025,1950.0000,925.0000,1025.0000
'11110," 辆肺备",'1903,"47技",2025,1686.0000,824.0000,862.0000
'11110," 辆肺备",'1904,"48技",2025,1763.0000,790.0000,973.0000
'11110," 辆肺备",'1905,"49技",2025,1836.0000,899.0000,937.0000
'11110," 辆肺备",'2101,"50技",2025,1864.0000,892.0000,972.0000
'11110," 辆肺备",'2102,"51技",2025,2054.0000,1002.0000,1052.0000
'11110," 辆肺备",'2103,"52技",2025,2247.0000,1062.0000,1185.0000
'11110," 辆肺备",'2104,"53技",2025,2336.0000,1143.0000,1193.0000
'11110," 辆肺备",'2105,"54技",2025,2548.0000,1326.0000,1222.0000
'11110," 辆肺备",'2301,"55技",2025,2517.0000,1232.0000,1285.0000
'11110," 辆肺备",'2302,"56技",2025,2468.0000,1223.0000,1245.0000
'11110," 辆肺备",'2303,"57技",2025,2365.0000,1142.0000,1223.0000
'11110," 辆肺备",'2304,"58技",2025,2324.0000,1109.0000,1215.0000
'11110," 辆肺备",'2305,"59技",2025,2032.0000,1013.0000,1019.0000
'11110," 辆肺备",'2601,"60技",2025,2182.0000,1098.0000,1084.0000
'11110," 辆肺备",'2602,"61技",2025,2221.0000,1112.0000,1109.0000
'11110," 辆肺备",'2603,"62技",2025,2094.0000,1065.0000,1029.0000
'11110," 辆肺备",'2604,"63技",2025,2244.0000,1187.0000,1057.0000
'11110," 辆肺备",'2605,"64技",2025,2285.0000,1117.0000,1168.0000
'11110," 辆肺备",'2801,"65技",2025,2289.0000,1087.0000,1202.0000
'11110," 辆肺备",'2802,"66技",2025,2041.0000,1040.0000,1001.0000
'11110," 辆肺备",'2803,"67技",2025,1936.0000,944.0000,992.0000
'11110," 辆肺备",'2804,"68技",2025,1951.0000,993.0000,958.0000
'11110," 辆肺备",'2805,"69技",2025,1758.0000,845.0000,913.0000
'11110," 辆肺备",'3101,"70技",2025,1861.0000,912.0000,949.0000
'11110," 辆肺备",'3102,"71技",2025,1534.0000,733.0000,801.0000
'11110," 辆肺备",'3103,"72技",2025,1317.0000,628.0000,689.0000
'11110," 辆肺备",'3104,"73技",2025,1446.0000,699.0000,747.0000
'11110," 辆肺备",'3105,"74技",2025,968.0000,437.0000,531.0000
'11110," 辆肺备",'3301,"75技",2025,1062.0000,470.0000,592.0000
'11110," 辆肺备",'3302,"76技",2025,1163.0000,512.0000,651.0000
'11110," 辆肺备",'3303,"77技",2025,1095.0000,478.0000,617.0000
'11110," 辆肺备",'3304,"78技",2025,1179.0000,524.0000,655.0000
'11110," 辆肺备",'3305,"79技",2025,938.0000,399.0000,539.0000
'11110," 辆肺备",'3601,"80技",2025,863.0000,350.0000,513.0000
'11110," 辆肺备",'3602,"81技",2025,891.0000,346.0000,545.0000
'11110," 辆肺备",'3603,"82技",2025,804.0000,330.0000,474.0000
'11110," 辆肺备",'3604,"83技",2025,962.0000,386.0000,576.0000
'11110," 辆肺备",'3605,"84技",2025,780.0000,296.0000,484.0000
'11110," 辆肺备",'3801,"85技",2025,636.0000,268.0000,368.0000
'11110," 辆肺备",'3802,"86技",2025,596.0000,229.0000,367.0000
'11110," 辆肺备",'3803,"87技",2025,563.0000,221.0000,342.0000
'11110," 辆肺备",'3804,"88技",2025,400.0000,144.0000,256.0000
'11110," 辆肺备",'3805,"89技",2025,385.0000,147.0000,238.0000
'11110," 辆肺备",'4101,"90技",2025,299.0000,103.0000,196.0000
'11110," 辆肺备",'4102,"91技",2025,250.0000,79.0000,171.0000
'11110," 辆肺备",'4103,"92技",2025,173.0000,58.0000,115.0000
'11110," 辆肺备",'4104,"93技",2025,159.0000,55.0000,104.0000
'11110," 辆肺备",'4105,"94技",2025,102.0000,31.0000,71.0000
'11110," 辆肺备",'4301,"95技",2025,72.0000,22.0000,50.0000
'11110," 辆肺备",'4302,"96技",2025,53.0000,12.0000,41.0000
'11110," 辆肺备",'4303,"97技",2025,44.0000,13.0000,31.0000
'11110," 辆肺备",'4304,"98技",2025,34.0000,5.0000,29.0000
'11110," 辆肺备",'4305,"99技",2025,26.0000,8.0000,18.0000
'11110," 辆肺备",'440,"100技 捞惑",2025,34.0000,10.0000,24.0000
'11140," 吝备",'000,"拌",2025,117805.0000,56560.0000,61245.0000
'11140," 吝备",'0401,"0技",2025,601.0000,313.0000,288.0000
'11140," 吝备",'0402,"1技",2025,484.0000,253.0000,231.0000
'11140," 吝备",'0403,"2技",2025,410.0000,216.0000,194.0000
'11140," 吝备",'0404,"3技",2025,511.0000,258.0000,253.0000
'11140," 吝备",'0405,"4技",2025,501.0000,228.0000,273.0000
'11140," 吝备",'0501,"5技",2025,462.0000,245.0000,217.0000
'11140," 吝备",'0502,"6技",2025,459.0000,243.0000,216.0000
'11140," 吝备",'0503,"7技",2025,476.0000,235.0000,241.0000
'11140," 吝备",'0504,"8技",2025,507.0000,261.0000,246.0000
'11140," 吝备",'0505,"9技",2025,566.0000,286.0000,280.0000
'11140," 吝备",'0701,"10技",2025,552.0000,292.0000,260.0000
'11140," 吝备",'0702,"11技",2025,533.0000,264.0000,269.0000
'11140," 吝备",'0703,"12技",2025,523.0000,264.0000,259.0000
'11140," 吝备",'0704,"13技",2025,570.0000,305.0000,265.0000
'11140," 吝备",'0705,"14技",2025,545.0000,266.0000,279.0000
'11140," 吝备",'1001,"15技",2025,522.0000,287.0000,235.0000
'11140," 吝备",'1002,"16技",2025,524.0000,268.0000,256.0000
'11140," 吝备",'1003,"17技",2025,569.0000,267.0000,302.0000
'11140," 吝备",'1004,"18技",2025,696.0000,329.0000,367.0000
'11140," 吝备",'1005,"19技",2025,770.0000,353.0000,417.0000
'11140," 吝备",'1201,"20技",2025,816.0000,371.0000,445.0000
'11140," 吝备",'1202,"21技",2025,1031.0000,430.0000,601.0000
'11140," 吝备",'1203,"22技",2025,1134.0000,481.0000,653.0000
'11140," 吝备",'1204,"23技",2025,1209.0000,589.0000,620.0000
'11140," 吝备",'1205,"24技",2025,1514.0000,707.0000,807.0000
'11140," 吝备",'1301,"25技",2025,1862.0000,840.0000,1022.0000
'11140," 吝备",'1302,"26技",2025,1810.0000,783.0000,1027.0000
'11140," 吝备",'1303,"27技",2025,2002.0000,848.0000,1154.0000
'11140," 吝备",'1304,"28技",2025,2123.0000,935.0000,1188.0000
'11140," 吝备",'1305,"29技",2025,2215.0000,1017.0000,1198.0000
'11140," 吝备",'1501,"30技",2025,2342.0000,1099.0000,1243.0000
'11140," 吝备",'1502,"31技",2025,2397.0000,1183.0000,1214.0000
'11140," 吝备",'1503,"32技",2025,2389.0000,1176.0000,1213.0000
'11140," 吝备",'1504,"33技",2025,2451.0000,1234.0000,1217.0000
'11140," 吝备",'1505,"34技",2025,2249.0000,1124.0000,1125.0000
'11140," 吝备",'1601,"35技",2025,2052.0000,995.0000,1057.0000
'11140," 吝备",'1602,"36技",2025,1976.0000,1026.0000,950.0000
'11140," 吝备",'1603,"37技",2025,1928.0000,934.0000,994.0000
'11140," 吝备",'1604,"38技",2025,1747.0000,913.0000,834.0000
'11140," 吝备",'1605,"39技",2025,1691.0000,864.0000,827.0000
